Date,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha
Wed 1 Sep,5:40,7:01,1:34,5:15,8:07,9:27
Thu 2 Sep,5:42,7:02,1:34,5:14,8:05,9:25
Fri 3 Sep,5:43,7:03,1:34,5:13,8:04,9:23
Sat 4 Sep,5:44,7:04,1:33,5:12,8:02,9:21
Sun 5 Sep,5:45,7:05,1:33,5:11,8:00,9:20
Mon 6 Sep,5:47,7:06,1:32,5:10,7:59,9:18
Tue 7 Sep,5:48,7:07,1:32,5:09,7:57,9:16
Wed 8 Sep,5:49,7:08,1:32,5:08,7:55,9:14
Thu 9 Sep,5:50,7:09,1:31,5:07,7:54,9:12
Fri 10 Sep,5:51,7:10,1:31,5:06,7:52,9:10
Sat 11 Sep,5:53,7:11,1:31,5:05,7:50,9:08
Sun 12 Sep,5:54,7:12,1:30,5:03,7:48,9:06
Mon 13 Sep,5:55,7:13,1:30,5:02,7:47,9:04
Tue 14 Sep,5:56,7:14,1:30,5:01,7:45,9:02
Wed 15 Sep,5:57,7:15,1:29,5:00,7:43,9:01
Thu 16 Sep,5:58,7:16,1:29,4:59,7:41,8:59
Fri 17 Sep,6:00,7:17,1:29,4:58,7:40,8:57
Sat 18 Sep,6:01,7:18,1:28,4:57,7:38,8:55
Sun 19 Sep,6:02,7:19,1:28,4:55,7:36,8:53
Mon 20 Sep,6:03,7:20,1:28,4:54,7:34,8:51
Tue 21 Sep,6:04,7:21,1:27,4:53,7:33,8:49
Wed 22 Sep,6:05,7:22,1:27,4:52,7:31,8:48
Thu 23 Sep,6:06,7:23,1:26,4:51,7:29,8:46
Fri 24 Sep,6:08,7:24,1:26,4:49,7:28,8:44
Sat 25 Sep,6:09,7:25,1:26,4:48,7:26,8:42
Sun 26 Sep,6:10,7:26,1:25,4:47,7:24,8:40
Mon 27 Sep,6:11,7:27,1:25,4:46,7:22,8:39
Tue 28 Sep,6:12,7:28,1:25,4:45,7:21,8:37
Wed 29 Sep,6:13,7:29,1:24,4:43,7:19,8:35
Thu 30 Sep,6:14,7:30,1:24,4:42,7:17,8:33
